CRAMERFLAGS,Cramer rules,cdk:Title,toxTree.tree.cramer.CramerTreeResult,SMILES
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C([H])C2=C(C([H])=C1C([H])([H])[H])N(C([H])=N2)[C@]3([H])[C@@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O3)OP(=O)([O-])O[C@]([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])[C@]\4(C([H])([H])[H])[C@@]([H])(C([H])([H])C(=O)N([H])[H])C5([H])[C@@]6(C([H])([H])[H])[C@@](C([H])([H])[H])(C([H])([H])C(=O)N([H])[H])[C@]([H])(C([H])([H])C([H])([H])C(=O)N([H])[H])C(=N6)/C(=C\7/[C@@](C([H])([H])[H])(C([H])([H])C(=O)N([H])[H])[C@]([H])(C([H])([H])C([H])([H])C(=O)N([H])[H])\C(=N7)\C(\[H])=C/8\C(C([H])([H])[H])(C([H])([H])[H])[C@]([H])(C([H])([H])C([H])([H])C(=O)N([H])[H])/C(=N8)/C(=C4\[N-]5)/C([H])([H])[H])/C([H])([H])[H])O[H].[C-]#N.[60Co+3]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1(C([H])([H])[H])[C@]([H])(C(=O)O[H])N2C(=O)[C@]([H])([C@@]2([H])S1)N([H])C(=O)C3(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])N([H])[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])C1([H])C([H])([H])C([H])(C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H])OC(=O)C([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C([H])([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C3=C([H])C([H])=C([H])C([H])=C3[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28Y,29N,33N",C([H])([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])=C1C2=C(C([H])=C([H])C([H])=C2[H])C([H])=C([H])C3=C1C([H])=C([H])C([H])=C3[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1(C([H])([H])[H])N=C(N([H])[H])N=C(N([H])[H])N1C2=C([H])C([H])=C(C([H])=C2[H])Cl
,High (Class III),,"1N,2N,3Y,4N",C1([H])([H])C([H])([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C2([H])N([H])C3=C([H])C(=C(C([H])=C3S(=O)(=O)N2[H])S(=O)(=O)N([H])[H])Cl
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C2(C([H])([H])C([H])([H])C([H])([H])C2([H])[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])([H])C([H])([H])N([H])P(=O)(N(C([H])([H])C([H])([H])Cl)C([H])([H])C([H])([H])Cl)OC1([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])([H])[C@]([H])(C(=O)N([H])O1)N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])/C(/[H])=C(\[H])/C([H])([H])[C@@]([H])(C([H])([H])[H])[C@]([H])([C@@]1([H])C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])[H])C(=O)N(C([H])([H])[H])C([H])([H])C(=O)N(C([H])([H])[H])[C@@]([H])(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N(C([H])([H])[H])[C@@]([H])(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@]([H])(C([H])([H])[H])C(=O)N(C([H])([H])[H])[C@@]([H])(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N(C([H])([H])[H])[C@@]([H])(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N(C([H])([H])[H])[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N1C([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C2([H])C([H])([H])C1([H])C([H])([H])C2([H])C3([H])N([H])C4=C([H])C(=C(C([H])=C4S(=O)(=O)N3[H])S(=O)(=O)N([H])[H])Cl
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])(C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C([H])([H])([H])N1C([H])([H])C([H])([H])C(=C2C3=C(C([H])=C([H])C([H])=C3[H])C([H])=C([H])C4=C2C([H])=C([H])C([H])=C4[H])C([H])([H])C1([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(=O)[C@]1(C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])=C(C4=C([H])C(=O)[C@]5([H])C([H])([H])[C@]5([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]21C([H])([H])[H])Cl)OC(=O)C([H])([H])[H]
,Low (Class I),,1Y,C([H])([H])(C([H])([H])S[H])N([H])[H]
,Low (Class I),,1Y,C([H])([H])([C@@]([H])(C(=O)O[H])N([H])[H])S[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19Y,20N,22N,33N",C([H])([H])([C@@]([H])(C(=O)O[H])N([H])[H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])N([C@@]2([H])[C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O2)O[H])O[H])C(=O)N=C1N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N1C2=C(C([H])=C(C([H])=C2[H])C(=O)N(C([H])([H])C([H])([H])C(=O)O[H])C3=NC([H])=C([H])C([H])=C3[H])N=C1C([H])([H])N([H])C4=C([H])C([H])=C(C([H])=C4[H])C(=N[H])N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)/N=C(\C1=C([H])C([H])=C(C([H])=C1[H])N([H])C([H])([H])C2=NC3=C(C([H])=C([H])C(=C3[H])C(=O)N(C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])C4=NC([H])=C([H])C([H])=C4[H])N2C([H])([H])[H])/N([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1=NC(=C(C2=NC(=NC([H])=C2[H])N([H])[H])S1)C3=C([H])C([H])=C([H])C(=C3F)N([H])S(=O)(=O)C4=C(C([H])=C([H])C([H])=C4F)F
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N(C([H])([H])[H])/N=N/C1=C(C(=O)N([H])[H])N=C([H])N1[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])(C([H])([H])[H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C2=NC([H])=C(C3=C([H])C([H])=C(C([H])=C3[H])C4=C([H])C([H])=C(C([H])=C4[H])C5=C([H])N=C([C@]6([H])C([H])([H])C([H])([H])C([H])([H])N6C(=O)[C@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])N([H])C(=O)OC([H])([H])[H])N5[H])N2[H])N([H])C(=O)OC([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])OC1=C([H])C2=NC([H])=NC(=C2C([H])=C1N([H])C(=O)/C(/[H])=C(\[H])/C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])N([H])C4=C([H])C([H])=C(C(=C4[H])Cl)F
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])(C([H])([H])[H])[C@]1([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C(=O)N(C([H])([H])[H])C([H])([H])C(=O)N(C([H])([H])[H])[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)O[C@]([H])(C([H])([H])[H])[C@@]([H])(C(=O)N1[H])N([H])C(=O)C3=C([H])C([H])=C(C([H])([H])[H])C4=C3N=C5C(=C(C(=O)C(=C5O4)C([H])([H])[H])N([H])[H])C(=O)N([H])[C@@]6([H])[C@@]([H])(C([H])([H])[H])OC(=O)[C@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])C(=O)C([H])([H])N(C([H])([H])[H])C(=O)[C@]7([H])C([H])([H])C([H])([H])C([H])([H])N7C(=O)[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])N([H])C6=O
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C(C([H])=C([H])N=C1[H])N([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])S(=O)(=O)[C@]1([H])C([H])([H])C([H])([H])N2[C@@]1([H])C(=O)O[C@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C([H])([H])[H])/C(/[H])=C(\[H])/C(=O)N([H])C([H])([H])/C(/[H])=C(\[H])/C(=C(\[H])/[C@]([H])(C([H])([H])C(=O)C([H])([H])C3=NC(=C([H])O3)C2=O)O[H])/C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])C2=C(C([H])([H])[H])C(=C(C([H])([H])[H])C(=C2O1)C([H])([H])[H])OC(=O)C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12Y,13Y,14N,22N,33N",C([H])#C[C@@]1(C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C5=C(C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]21C([H])([H])[H])C([H])=NO5)O[H]
,High (Class III),,"1N,2Y",C1([H])=C([H])C(=C([H])C([H])=C1C2=C([H])C([H])=C(/C(/[H])=N/N3C([H])([H])C(=O)N([H])C3=O)O2)[N+](=O)[O-]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28Y,29N,33N",C1([H])=C([H])C(=C2C(=C1[H])C(=O)C3=C([H])C([H])=C([H])C(=C3C2=O)O[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C2=C([H])C(=C([H])C([H])=C2Cl)[C@@]3([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O3)O[H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=C(C([H])=C([H])C([H])=C1[H])N2C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C3=NN=C4C([H])([H])C([H])([H])C([H])([H])C([H])([H])N43)C([H])([H])C2([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C(C([H])=C([H])C(=C1[H])S(=O)(=O)C2=C([H])C([H])=C(C([H])=C2[H])N([H])[H])N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H])C(=O)N([H])[C@]([H])(C([H])([H])C(=O)N([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])C(=O)O[H])C(=O)N([H])[C@@]3([H])[C@@]([H])(C([H])([H])[H])OC(=O)[C@]([H])(C([H])([H])C(=O)C4=C(C([H])=C([H])C([H])=C4[H])N([H])[H])N([H])C(=O)[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C(=O)O[H])N([H])C(=O)[C@@]([H])(C([H])([H])O[H])N([H])C(=O)C([H])([H])N([H])C(=O)[C@]([H])(C([H])([H])C(=O)O[H])N([H])C(=O)[C@@]([H])(C([H])([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C(=O)O[H])N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])N([H])[H])N([H])C(=O)C([H])([H])N([H])C3=O
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C(C([H])=C([H])C2=C1N=C([C@]3(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N3C(=O)C4=C([H])C(=C([H])C([H])=C4N5N=C([H])C([H])=N5)OC([H])([H])[H])N2[H])Cl
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])C([H])=C(C([H])=C1[H])C(C2=C([H])C([H])=C([H])C([H])=C2[H])([C@]3([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C4=C([H])C([H])=C5C(=C4[H])C([H])([H])C([H])([H])O5)C3([H])[H])C(=O)N([H])[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])[C@@]([H])(C([H])([H])N1C([H])=C([H])C(=N1)C2=C([H])C([H])=C(C#N)C(=C2[H])Cl)N([H])C(=O)C3=NN([H])C(=C3[H])C([H])(C([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])N(C([H])([H])[C@]([H])([C@]([H])(C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])N([H])C(=O)O[C@@]2([H])C([H])([H])O[C@]3([H])[C@@]2([H])C([H])([H])C([H])([H])O3)O[H])S(=O)(=O)C4=C([H])C([H])=C(C([H])=C4[H])N([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1=C(C(=C([H])C(=C1[H])N2C([H])=C([H])C(=O)N([H])C2=O)C3=C([H])C4=C([H])C([H])=C(C([H])=C4C([H])=C3[H])N([H])S(=O)(=O)C([H])([H])[H])OC([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C([H])C([H])=C([H])C(=C1N([H])C(=O)C2=C([H])N=C(N([H])C3=NC(=NC(=C3[H])N4C([H])([H])C([H])([H])N(C([H])([H])C4([H])[H])C([H])([H])C([H])([H])O[H])C([H])([H])[H])S2)Cl
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])[C@@]1([H])[C@]([H])([C@]([H])(C([H])([H])[C@@]([H])(O1)O[C@@]2([H])C([H])([H])[C@@](C([H])([H])C3=C(C4=C(C(=O)C5=C(C([H])=C([H])C([H])=C5C4=O)OC([H])([H])[H])C(=C32)O[H])O[H])(C(=O)C([H])([H])[H])O[H])N([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])C2=C(C([H])=C1[H])C([H])([H])N(C([H])([H])C2([H])[H])C(=N[H])N([H])[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])([H])[C@@]([H])([C@@]([H])(C([H])([H])O[H])O[C@@]1([H])N2C([H])=NC(=NC2=O)N([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12Y,13Y,14Y,15N,33N",C1([H])=C([H])C(=C(C([H])=C1[H])O[H])C2=NN(C3=C([H])C([H])=C(C([H])=C3[H])C(=O)O[H])C(=N2)C4=C(C([H])=C([H])C([H])=C4[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C([H])([H])([H])C1=C(C(=O)C([H])=C([H])N1C([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19Y,20N,22N,33N",C([H])([H])([H])C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])O[H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C([H])([H])([H])C1=N[C@]2(C(=O)C([H])([H])OC(=O)C([H])([H])[H])[C@@]([H])(C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])C5=C([H])C(=O)C([H])=C([H])[C@]5(C([H])([H])[H])[C@@]4([H])[C@]([H])(C([H])([H])[C@@]32C([H])([H])[H])O[H])O1
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N([H])[C@]([H])(C([H])([H])[H])C(=O)N([H])[H])N([H])C(=O)[C@@]([H])(C([H])([H])C2=C([H])C([H])=C(C([H])=C2[H])N([H])C(=O)N([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C3=C([H])C([H])=C(C([H])=C3[H])N([H])C(=O)[C@]4([H])C([H])([H])C(=O)N([H])C(=O)N4[H])N([H])C(=O)[C@]([H])(C([H])([H])O[H])N([H])C(=O)[C@@]([H])(C([H])([H])C5=C([H])C([H])=C([H])N=C5[H])N([H])C(=O)[C@@]([H])(C([H])([H])C6=C([H])C([H])=C(C([H])=C6[H])Cl)N([H])C(=O)[C@@]([H])(C([H])([H])C7=C([H])C8=C(C([H])=C([H])C([H])=C8[H])C([H])=C7[H])N([H])C(=O)C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24N,25N,26N,22N,33N",C([H])([H])([H])[C@]([H])(C([H])([H])C([H])([H])C(=O)O[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@@]3([H])[C@]([H])(C([H])([H])C(=O)[C@]12C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])C(=O)C([H])([H])[C@@]4([H])C([H])([H])C3=O
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C(C(=C(C2=C1C(=O)C(=C([H])N2C3=NC(=C(C([H])=C3F)F)N([H])[H])C(=O)O[H])Cl)N4C([H])([H])C([H])(C4([H])[H])O[H])F
,High (Class III),,"1N,2Y",C([H])([H])([H])[C@@]1(C([H])([H])N2C([H])=C(N=C2O1)[N+](=O)[O-])C([H])([H])OC3=C([H])C([H])=C(C([H])=C3[H])N4C([H])([H])C([H])([H])C([H])(C([H])([H])C4([H])[H])OC5=C([H])C([H])=C(C([H])=C5[H])OC(F)(F)F
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])(C([H])([H])[H])N([H])C1=C([H])C([H])=C([H])N=C1N2C([H])([H])C([H])([H])N(C([H])([H])C2([H])[H])C(=O)C3=C([H])C4=C(C([H])=C([H])C(=C4[H])N([H])S(=O)(=O)C([H])([H])[H])N3[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C(=O)OC1=C([H])C(=C([H])C([H])=C1[H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(=O)OC2=C([H])C(=C([H])C([H])=C2[H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])N(C([H])([H])[H])[C@@]1([H])[C@]2([H])C([H])([H])[C@@]3([H])C(=C([C@@]2(C(=O)C(=C1O[H])C(=O)N([H])[H])O[H])O[H])C(=O)C4=C(C(=C([H])C([H])=C4O[H])Cl)[C@@]3([H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24N,25N,26N,22N,33N",C([H])([H])([H])[C@]([H])(C([H])([H])C([H])([H])C(=O)O[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])[C@]4([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])[C@@]([H])([C@]12C([H])([H])[H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=[N+](C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]2=C(C([H])([H])[H])C([H])=C(C3=C2C([H])=C([H])C([H])=C3[H])N([H])[H])C4=C(C([H])=C([H])C([H])=C4[H])C(=C1[H])N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])OC1=C([H])C(=C([H])C(=C1OC([H])([H])[H])OC([H])([H])[H])C(=O)O[C@]2([H])C([H])([H])[C@]3([H])C([H])([H])N4C([H])([H])C([H])([H])C5=C([C@@]4([H])C([H])([H])[C@]3([H])[C@@]([H])([C@@]2([H])OC([H])([H])[H])C(=O)OC([H])([H])[H])N([H])C6=C5C([H])=C([H])C([H])=C6[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])(C(F)(F)F)(F)OC([H])(F)F
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])N1C2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C3=C1C([H])=C([H])C([H])=C3[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8Y,9N,10N,11N,12N,22N,33N",C([H])([H])([H])[C@]1([H])[C@]([H])([C@]([H])(C([H])([H])[C@@]([H])(O1)O[C@@]2([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@]([H])(C([H])([H])C([H])([H])[C@]4([H])[C@]3([H])C([H])([H])[C@]([H])([C@]5(C([H])([H])[H])[C@]([H])(C([H])([H])C([H])([H])[C@]45O[H])C6=C([H])C(=O)OC6([H])[H])O[H])C2([H])[H])O[H])O[C@@]7([H])C([H])([H])[C@@]([H])([C@@]([H])([C@@]([H])(C([H])([H])[H])O7)O[C@@]8([H])C([H])([H])[C@@]([H])([C@@]([H])([C@@]([H])(C([H])([H])[H])O8)O[C@@]9([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O9)O[H])O[H])O[H])O[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])N=C2C(=C1[H])C([H])([H])C([H])([H])C3=C(C([H])=C([H])C(=C3[H])Cl)C2=C4C([H])([H])C([H])([H])N([H])C([H])([H])C4([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@@]2([H])C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])C(=O)N([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])C(=O)N([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])SSC([H])([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])C3=C([H])C([H])=C(C([H])=C3[H])O[H])C(=O)N2[H])C(=O)N4C([H])([H])C([H])([H])C([H])([H])[C@@]4([H])C(=O)N([H])[C@]([H])(C([H])([H])C([H])([H])C([H])([H])N([H])C(=N[H])N([H])[H])C(=O)N([H])C([H])([H])C(=O)N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24N,25N,26N,22N,33N",C([H])([H])([H])C([H])([H])[C@@]12C([H])([H])C(=C([H])[H])[C@]3([H])[C@@]4([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C4C([H])([H])C([H])([H])[C@@]3([H])[C@]2([H])C([H])([H])C([H])([H])[C@]1(C#C[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C([H])([H])([H])C1(C([H])([H])[H])O[C@]2([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])C5=C([H])C(=O)C([H])=C([H])[C@]5(C([H])([H])[H])[C@@]4([H])[C@]([H])(C([H])([H])[C@]3(C([H])([H])[H])[C@]2(C(=O)C([H])([H])O[H])O1)O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])[C@]1([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])=C([H])[C@]4(C([H])([H])[H])[C@]3([C@]([H])(C([H])([H])[C@]2(C([H])([H])[H])[C@@]1([H])C(=O)C([H])([H])O[H])O[H])F
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24N,25N,26N,22N,33N",C([H])([H])([H])C(=O)OC([H])([H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]21C([H])([H])[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])N(C([H])([H])[H])C([H])([H])C([H])(C1=C([H])C([H])=C(C([H])=C1[H])O[H])C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])O[H]
