CRAMERFLAGS,Cramer rules,cdk:Title,toxTree.tree.cramer.CramerTreeResult,SMILES
,Low (Class I),,"1N,2N,3Y,4Y(7N,16N,17N,19Y,20N,22N,33Y)",C([H])([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])S(=O)(=O)O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])[C@]1([H])[C@]([H])([C@@]([H])([C@]([H])([C@]([H])(O1)O[C@]2([H])[C@@]([H])(C([H])([H])O[H])O[C@@]([H])([C@@]([H])([C@@]2([H])O[H])O[H])O[C@]([H])([C@@]([H])(C([H])([H])O[H])O[H])[C@@]([H])([C@]([H])(C([H])=O)O[H])O[H])O[H])O[H])N([H])[C@@]3([H])C([H])=C(C([H])([H])O[H])[C@]([H])([C@@]([H])([C@@]3([H])O[H])O[H])O[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C(=C1[H])C(=O)C([H])([H])[H])OC([H])([H])C([H])(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C([H])([H])([H])C(=O)OC1([H])C([H])([H])N2C([H])([H])C([H])([H])C1([H])C([H])([H])C2([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C(=C(C([H])=C1[H])N([H])C2=C(C([H])=C([H])C([H])=C2Cl)Cl)C([H])([H])C(=O)OC([H])([H])C(=O)O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C(C([H])([H])C(=O)OC([H])([H])C(=O)O[H])C2=C(C([H])=C([H])C(=C2[H])OC([H])([H])[H])N1C(=O)C3=C([H])C([H])=C(C([H])=C3[H])Cl
,High (Class III),,"1N,2Y",C([H])([H])([H])C(=O)C([H])([H])C([H])(C1=C([H])C([H])=C(C([H])=C1[H])[N+](=O)[O-])C2=C(C3=C(C([H])=C([H])C([H])=C3[H])OC2=O)O[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(=O)N([H])C1=C([H])C(=C([H])C([H])=C1O[H])[As](=O)(O[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(=O)N([H])C1=NN=C(S1)S(=O)(=O)N([H])[H]
,Low (Class I),,1Y,C([H])([H])([H])C(=O)O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])C(=O)N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19Y,20N,22N,33N",C([H])([H])([H])C(=O)N([H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C(=O)C1=C([H])C([H])=C2C(=C1[H])N(C([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])N(C([H])([H])C3([H])[H])C([H])([H])C([H])([H])O[H])C4=C(C([H])=C([H])C([H])=C4[H])S2
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C(N(C(=O)C([H])([H])[H])S(=O)(=O)C2=C([H])C([H])=C(C([H])=C2[H])N([H])[H])ON=C1C([H])([H])[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])C(=O)O[C@]([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
,Low (Class I),,1Y,C([H])([H])([H])C(=O)OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19Y,20N,22N,33N",C([H])([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])S[H])C(=O)O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8Y,9N,10N,11N,12N,22N,33N",C([H])([H])([H])[C@]1([H])[C@]([H])([C@]([H])(C([H])([H])[C@@]([H])(O1)O[C@]2([H])[C@@]([H])(C([H])([H])[H])O[C@]([H])(C([H])([H])[C@]2([H])O[H])O[C@]3([H])[C@@]([H])(C([H])([H])[H])O[C@]([H])(C([H])([H])[C@]3([H])O[H])O[C@@]4([H])C([H])([H])C([H])([H])[C@@]5(C([H])([H])[H])[C@]([H])(C([H])([H])C([H])([H])[C@]6([H])[C@]5([H])C([H])([H])C([H])([H])[C@]7(C([H])([H])[H])[C@]([H])(C([H])([H])C([H])([H])[C@]67O[H])C8=C([H])C(=O)OC8([H])[H])C4([H])[H])OC(=O)C([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19Y,20N,22N,33N",C([H])#C[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])C(=O)OC1=C(C([H])=C([H])C([H])=C1[H])C(=O)O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=[N+](C([H])=C(C(=O)O[H])N=C1[H])[O-]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])/C(=C(/[H])\C(\[H])=C(/[H])\C(=C(/[H])\C(=O)O[H])\C([H])([H])[H])/C(/[H])=C(\[H])/C1=C(C([H])([H])[H])C([H])=C(C(=C1C([H])([H])[H])C([H])([H])[H])OC([H])([H])[H]
,High (Class III),,"1N,2Y",C1([H])=C([H])C([H])=C(C([H])=C1[H])OC([H])([H])C([H])([H])C([H])([H])[N+]23C([H])([H])C([H])([H])C([H])(C([H])([H])C2([H])[H])[C@]([H])(C3([H])[H])OC(=O)C(C4=C([H])C([H])=C([H])S4)(C5=C([H])C([H])=C([H])S5)O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])/C(=C(/[H])\C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])/C/3=N/C(=C([H])C([H])=C3[H])/C(/[H])=C(\[H])/C(=O)O[H]
,Low (Class I),,"1N,2N,3N,5Y",C([H])([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])(C([H])([H])OC([H])([H])N1C([H])=NC2=C1N([H])C(=NC2=O)N([H])[H])O[H]
,High (Class III),,"1N,2Y",C([H])([H])=C(C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[C@]1([H])C([H])([H])C#N)C2=C3C([H])([H])C([H])([H])N(C([H])([H])C3=NC(=N2)OC([H])([H])[C@]4([H])C([H])([H])C([H])([H])C([H])([H])N4C([H])([H])[H])C5=C([H])C([H])=C([H])C6=C([H])C([H])=C([H])C(=C65)Cl)F
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28Y,29N,33N",C([H])([H])([H])OC1=C(C([H])=C(C([H])=C1[H])C2=C([H])C3=C([H])C([H])=C(C([H])=C3C([H])=C2[H])C(=O)O[H])C45C([H])([H])C6([H])C([H])([H])C([H])(C([H])([H])C([H])(C6([H])[H])C4([H])[H])C5([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C(=O)OC([H])([H])OP(=O)(C([H])([H])OC([H])([H])C([H])([H])N1C([H])=NC2=C1N=C([H])N=C2N([H])[H])OC([H])([H])OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])[S+](C([H])([H])C([H])([H])[C@@]([H])(C(=O)[O-])N([H])[H])C([H])([H])[C@]1([H])[C@]([H])([C@]([H])([C@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])O1)O[H])O[H]
,Low (Class I),,1Y,C1([H])=NC2=NC([H])=NC(=C2N1[H])N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([C@]1([H])[C@]([H])([C@]([H])([C@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])O1)O[H])O[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([C@]1([H])[C@]([H])([C@]([H])([C@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])O1)O[H])O[H])OP(=O)(O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28Y,29N,33N",C([H])([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])OC(=O)C([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C2=C([H])C([H])=C([H])C([H])=C2[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])C(=O)O[H])C(=O)N([H])[C@@]([H])(C([H])([H])C1=C([H])N=C([H])N1[H])C(=O)N([H])[C@]([H])(C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])N([H])C(=N[H])N([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])C3=C([H])N([H])C4=C3C([H])=C([H])C([H])=C4[H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C(=O)N5C([H])([H])C([H])([H])C([H])([H])[C@@]5([H])C(=O)N([H])[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])O[H])N([H])C(=O)[C@]([H])(C([H])([H])C6=C([H])C([H])=C(C([H])=C6[H])O[H])N([H])C(=O)[C@]([H])(C([H])([H])O[H])N([H])C(=O)C([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])N(C([H])([H])[H])C([H])([H])/C(/[H])=C(\[H])/C(=O)N([H])C1=C([H])C2=C(N=C([H])N=C2C([H])=C1O[C@@]3([H])C([H])([H])C([H])([H])OC3([H])[H])N([H])C4=C([H])C([H])=C(C(=C4[H])Cl)F
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28Y,29N,33N",C([H])([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C(C([H])=C21)OC([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])[C@@]1([H])[C@]2([H])C([H])([H])[C@@]3([H])[C@@]4([H])[C@@]5(C([H])([H])[C@@]([H])(C2([H])[C@@]5([H])O[H])N3[C@]1([H])O[H])C6=C(C([H])=C([H])C([H])=C6[H])N4C([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])[C@@]([H])(C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@]1([H])[C@@]2([H])C([H])([H])N(C([H])([H])[C@]21[H])C3=NC4=C(C([H])=C3F)C(=O)C(=C([H])N4C5=C([H])C([H])=C(C([H])=C5F)F)C(=O)O[H])N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])C([H])([H])SC1=C([H])C2=C(C([H])=C1[H])N=C(N2[H])N([H])C(=O)OC([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N1C([H])([H])C([H])([H])C(=C2C3=C(C([H])=C([H])C([H])=C3[H])C([H])([H])C([H])([H])N4C(=C([H])N=C24)C([H])=O)C([H])([H])C1([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])=C([H])C([H])([H])OC1=C([H])C([H])=C(C([H])=C1Cl)C([H])([H])C(=O)O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])[C@]1([H])C([H])([H])[C@@]2([H])[C@]3([H])[C@@]([H])(C([H])([H])C4=C([H])C(=O)C([H])=C([H])[C@]4(C([H])([H])[H])[C@@]3([H])[C@]([H])(C([H])([H])[C@]2(C([H])([H])[H])[C@]1(C(=O)C([H])([H])O[H])O[H])O[H])Cl
,High (Class III),,"1N,2N,3Y,4N",C1([H])(C(=O)[N-]C(=O)N1[H])N([H])C(=O)N([H])[H].[Al+3].[Al+3].[Cl-].[O-][H].[O-][H].[O-][H].[O-][H]
,High (Class III),,"1N,2Y",C([H])([H])([H])C([H])([H])C1=C(C([H])=C2C(=C1[H])C(=O)C3=C(C2(C([H])([H])[H])C([H])([H])[H])N([H])C4=C3C([H])=C([H])C(=C4[H])C#N)N5C([H])([H])C([H])([H])C([H])(C([H])([H])C5([H])[H])N6C([H])([H])C([H])([H])OC([H])([H])C6([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])(C([H])([H])C(O[H])(P(=O)(O[H])O[H])P(=O)(O[H])O[H])C([H])([H])N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24N,25N,26N,22N,33N",C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])/C(=C(\[H])/C(/[H])=C\3/C([H])([H])[C@]([H])(C([H])([H])[C@@]([H])(C3=C([H])[H])O[H])O[H])/C([H])([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])C(=O)N(C1=C([H])C([H])=C([H])C([H])=C1[H])C2(C([H])([H])C([H])([H])N(C([H])([H])C2([H])[H])C([H])([H])C([H])([H])N3C(=O)N(C([H])([H])C([H])([H])[H])N=N3)C([H])([H])OC([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N(C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])O1)C2=NC(=C3C([H])=C(C(=C([H])C3=N2)OC([H])([H])[H])OC([H])([H])[H])N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])N1C2=C(C([H])=C([H])C([H])=C2[H])SC3=C1C([H])=C([H])C([H])=C3[H]
,Intermediate (Class II),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18Y",C([H])([H])([H])C([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])C1=C([H])C([H])=C(C(=C1[H])OC([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])OC([H])([H])[H])C([H])([H])[C@@]([H])([C@]([H])(C([H])([H])[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C(=O)N([H])[H])O[H])N([H])[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24Y,18N",C([H])([H])([H])/C(=C(\[H])/C(/[H])=C(\[H])/C(=C(\[H])/C(=O)O[H])/C([H])([H])[H])/C(/[H])=C(\[H])/C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])(C(=O)N([H])C(=O)N1[H])N([H])C(=O)N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C1([H])=C([H])C(=C2C(=C1[H])C([H])(C3=C([H])C(=C([H])C(=C3C2=O)O[H])C([H])([H])O[H])[C@@]4([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O4)O[H])O[H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=NN([H])C2=NC([H])=NC(=C12)O[H]
,High (Class III),,"1N,2N,3Y,4N",[Al+3].[Al+3].[Mg+2].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-].O([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])=C([H])C([H])([H])N([H])C1=NC(=NC(=N1)N([H])C([H])([H])C([H])=C([H])[H])N2C([H])([H])C([H])([H])N(C([H])([H])C2([H])[H])C([H])(C3=C([H])C([H])=C(C([H])=C3[H])F)C4=C([H])C([H])=C(C([H])=C4[H])F
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])N([H])C2=C1C([H])=C(C([H])=C2[H])C([H])([H])S(=O)(=O)N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])N1C(=O)C([H])=C(N2C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C2([H])[H])N([H])[H])N(C([H])([H])C3=C(C([H])=C([H])C([H])=C3[H])C#N)C1=O
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=C(C([H])([H])N2C([H])([H])C([H])([H])C3=C(C4=C(C([H])=C([H])C([H])=C4[H])N3C([H])([H])[H])C2=O)N=C([H])N1[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C(C2=C([H])C(=NC([H])=C2[H])C(C([H])([H])[H])(C([H])([H])[H])C(F)(F)F)SC(=N1)N([H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C(=O)N([H])[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])/C(=C(\[H])/C1=C([H])C([H])=C([H])C([H])=C1[H])/C([H])=O
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C1([H])=C(C([H])=C([H])C(=C1[H])O[C@]2([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O2)O[H])O[H])O[H])O[H]
